Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
Login- Data driven,IE 11,,2018-06-13 17:48:37,2018-06-13 17:49:27,49.990s,PASSED
,,,,,,
Test Cases/Common/Login with different users,IE 11,,2018-06-13 17:48:37,2018-06-13 17:48:59,22.123s,PASSED
Start listener action : sampleBeforeTestCase,IE 11,,2018-06-13 17:48:37,2018-06-13 17:48:53,15.378s,PASSED
navigateToUrl,IE 11,,2018-06-13 17:48:53,2018-06-13 17:48:54,1.606s,PASSED
setText,IE 11,,2018-06-13 17:48:54,2018-06-13 17:48:55,0.762s,PASSED
setText,IE 11,,2018-06-13 17:48:55,2018-06-13 17:48:56,0.553s,PASSED
click,IE 11,,2018-06-13 17:48:56,2018-06-13 17:48:57,1.063s,PASSED
closeBrowser,IE 11,,2018-06-13 17:48:57,2018-06-13 17:48:57,0.539s,PASSED
Start listener action : sampleAfterTestCase,IE 11,,2018-06-13 17:48:57,2018-06-13 17:48:57,0.006s,PASSED
,,,,,,
Test Cases/Common/Login with different users,IE 11,,2018-06-13 17:48:59,2018-06-13 17:49:13,13.675s,PASSED
Start listener action : sampleBeforeTestCase,IE 11,,2018-06-13 17:48:59,2018-06-13 17:49:05,5.606s,PASSED
navigateToUrl,IE 11,,2018-06-13 17:49:05,2018-06-13 17:49:08,3.223s,PASSED
setText,IE 11,,2018-06-13 17:49:08,2018-06-13 17:49:09,0.626s,PASSED
setText,IE 11,,2018-06-13 17:49:09,2018-06-13 17:49:09,0.553s,PASSED
click,IE 11,,2018-06-13 17:49:09,2018-06-13 17:49:10,1.011s,PASSED
closeBrowser,IE 11,,2018-06-13 17:49:10,2018-06-13 17:49:11,0.628s,PASSED
Start listener action : sampleAfterTestCase,IE 11,,2018-06-13 17:49:11,2018-06-13 17:49:11,0.003s,PASSED
,,,,,,
Test Cases/Common/Login with different users,IE 11,,2018-06-13 17:49:13,2018-06-13 17:49:27,13.820s,PASSED
Start listener action : sampleBeforeTestCase,IE 11,,2018-06-13 17:49:13,2018-06-13 17:49:19,5.486s,PASSED
navigateToUrl,IE 11,,2018-06-13 17:49:19,2018-06-13 17:49:22,3.405s,PASSED
setText,IE 11,,2018-06-13 17:49:22,2018-06-13 17:49:23,0.677s,PASSED
setText,IE 11,,2018-06-13 17:49:23,2018-06-13 17:49:23,0.545s,PASSED
click,IE 11,,2018-06-13 17:49:23,2018-06-13 17:49:24,1.010s,PASSED
closeBrowser,IE 11,,2018-06-13 17:49:24,2018-06-13 17:49:25,0.632s,PASSED
Start listener action : sampleAfterTestCase,IE 11,,2018-06-13 17:49:25,2018-06-13 17:49:25,0.006s,PASSED
